,ZIP Code,latitude,longitude,city,state,county
36846,84512,37.624663,-109.479932,Bluff,UT,San Juan
36847,84513,39.196393,-111.05286799999999,Castle Dale,UT,Emery
36848,84515,38.999877000000005,-109.615008,Cisco,UT,Grand
36849,84516,39.119759,-111.10081399999999,Clawson,UT,Emery
36850,84518,39.373583,-110.893573,Cleveland,UT,Emery
36851,84520,39.531795,-110.40353600000002,East Carbon,UT,Carbon
36852,84521,39.403255,-110.810027,Elmo,UT,Emery
36853,84522,38.9226,-111.25123799999999,Emery,UT,Emery
36854,84523,39.14373,-111.118572,Ferron,UT,Emery
36855,84525,39.020075,-110.21386399999999,Green River,UT,Emery
36856,84526,39.637459,-110.77667,Helper,UT,Carbon
36857,84527,39.640778999999995,-110.56069699999999,Hiawatha,UT,Carbon
36858,84528,39.283156,-110.961933,Huntington,UT,Emery
36859,84529,39.688418,-110.80726000000001,Kenilworth,UT,Carbon
36860,84530,37.748946000000004,-110.22691,La Sal,UT,San Juan
36861,84531,37.748946000000004,-110.22691,Mexican Hat,UT,San Juan
36862,84532,38.5804,-109.54019,Moab,UT,Grand
36863,84533,37.748946000000004,-110.22691,Lake Powell,UT,San Juan
36864,84534,37.25391,-109.10607900000001,Montezuma Creek,UT,San Juan
36865,84535,38.099745,-109.25910800000001,Monticello,UT,San Juan
36866,84536,37.280021999999995,-109.56808999999998,Monument Valley,UT,San Juan
36867,84537,39.230154999999996,-111.051827,Orangeville,UT,Emery
36868,84539,39.534651000000004,-110.39883200000001,Sunnyside,UT,Carbon
36869,84540,38.999877000000005,-109.615008,Thompson,UT,Grand
36870,84542,39.614663,-110.641314,Wellington,UT,Carbon
36871,84601,40.235053,-111.695558,Provo,UT,Utah
36872,84602,40.356343,-111.732476,Provo,UT,Utah
36873,84603,40.203908,-111.626081,Provo,UT,Utah
36874,84604,40.317059,-111.60824099999999,Provo,UT,Utah
36875,84605,40.176975,-111.53603600000001,Provo,UT,Utah
36876,84606,40.218905,-111.63535300000001,Provo,UT,Utah
36877,84620,38.959002000000005,-111.904385,Aurora,UT,Sevier
36878,84621,39.192478,-111.719605,Axtell,UT,Sanpete
36879,84622,39.109891999999995,-111.823067,Centerfield,UT,Sanpete
36880,84623,39.494319,-111.49321699999999,Chester,UT,Sanpete
36881,84624,39.247056,-112.52654199999999,Delta,UT,Millard
36882,84626,40.176975,-111.53603600000001,Elberta,UT,Utah
36883,84627,39.373121999999995,-111.62523,Ephraim,UT,Sanpete
36884,84628,39.941736999999996,-112.174424,Eureka,UT,Juab
36885,84629,39.697844,-111.43051299999999,Fairview,UT,Sanpete
36886,84630,39.21521,-111.87900900000001,Fayette,UT,Sanpete
36887,84631,39.055572,-112.46741200000001,Fillmore,UT,Millard
36888,84632,39.392621999999996,-111.729316,Fountain Green,UT,Sanpete
36889,84633,40.029693,-111.76411599999999,Goshen,UT,Utah
36890,84634,39.136318,-111.845821,Gunnison,UT,Sanpete
36891,84635,39.114202,-113.130306,Hinckley,UT,Millard
36892,84636,39.096371999999995,-112.28344299999999,Holden,UT,Millard
36893,84637,38.831824,-112.45607199999999,Kanosh,UT,Millard
36894,84638,39.530246000000005,-112.29519099999999,Leamington,UT,Millard
36895,84639,39.521515,-111.943753,Levan,UT,Juab
36896,84640,39.494252,-112.397903,Lynndyl,UT,Millard
36897,84642,39.358358,-111.65768999999999,Manti,UT,Sanpete
36898,84643,39.11544,-111.690522,Mayfield,UT,Sanpete
36899,84644,39.06433,-113.032141,Meadow,UT,Millard
36900,84645,39.848110999999996,-111.850284,Mona,UT,Juab
36901,84646,39.510791999999995,-111.560318,Moroni,UT,Sanpete
36902,84647,39.348588,-111.60564199999999,Mount Pleasant,UT,Sanpete
36903,84648,39.757861,-111.84178700000001,Nephi,UT,Juab
36904,84649,39.372902,-112.328797,Oak City,UT,Millard
36905,84650,39.29022,-112.62808400000002,Oasis,UT,Millard
36906,84651,40.032911,-111.723974,Payson,UT,Utah
36907,84652,38.906498,-111.97531299999999,Redmond,UT,Sevier
36908,84653,40.011274,-111.599759,Salem,UT,Utah
36909,84654,38.921403000000005,-111.908156,Salina,UT,Sevier
36910,84655,40.003254,-111.812973,Santaquin,UT,Utah
36911,84656,39.249513,-112.106366,Scipio,UT,Millard
36912,84657,38.848233,-111.97373700000001,Sigurd,UT,Sevier
36913,84660,40.069946,-111.64908600000001,Spanish Fork,UT,Utah
36914,84662,39.467083,-111.46609,Spring City,UT,Sanpete
36915,84663,40.180718,-111.56258600000001,Springville,UT,Utah
36916,84664,40.125168,-111.580197,Mapleton,UT,Utah
36917,84665,39.133489000000004,-111.740853,Sterling,UT,Sanpete
36918,84667,39.488381,-111.634051,Wales,UT,Sanpete
36919,84701,38.738771,-112.07436200000001,Richfield,UT,Sevier
36920,84710,37.438637,-112.482285,Alton,UT,Kane
36921,84711,38.716845,-112.06568700000001,Annabella,UT,Sevier
36922,84712,37.729535,-110.543374,Antimony,UT,Garfield
36923,84713,38.315334,-112.79822800000001,Beaver,UT,Beaver
36924,84714,37.721369,-113.66389099999999,Beryl,UT,Iron
36925,84715,38.327826,-111.52639099999999,Bicknell,UT,Wayne
36926,84716,37.844777,-111.30820600000001,Boulder,UT,Garfield
36927,84717,37.844777,-111.30820600000001,Bryce Canyon,UT,Garfield
36928,84718,37.844777,-111.30820600000001,Cannonville,UT,Garfield
36929,84719,37.735521999999996,-112.839145,Brian Head,UT,Iron
36930,84720,37.694059,-113.192619,Cedar City,UT,Iron
36931,84721,37.656843,-113.3695,Cedar City,UT,Iron
36932,84722,37.46693,-113.62478300000001,Central,UT,Washington
36933,84723,38.182708,-112.23285700000001,Circleville,UT,Piute
36934,84724,38.686192,-112.10849499999999,Elsinore,UT,Sevier
36935,84725,37.579739000000004,-113.68935900000001,Enterprise,UT,Washington
36936,84726,37.767764,-111.595666,Escalante,UT,Garfield
36937,84728,39.06433,-113.032141,Garrison,UT,Millard
36938,84729,37.311415999999994,-112.601749,Glendale,UT,Kane
36939,84730,38.766687,-111.96278000000001,Glenwood,UT,Sevier
36940,84731,38.235645,-112.78326200000001,Greenville,UT,Beaver
36941,84732,38.328871,-112.142622,Greenwich,UT,Piute
36942,84733,37.287695,-113.76059599999999,Gunlock,UT,Washington
36943,84734,38.286909,-110.68796,Hanksville,UT,Wayne
36944,84735,37.717477,-112.47771599999999,Hatch,UT,Garfield
36945,84736,37.844777,-111.30820600000001,Henrieville,UT,Garfield
36946,84737,37.145365999999996,-113.36745800000001,Hurricane,UT,Washington
36947,84738,37.218261,-113.54581200000001,Ivins,UT,Washington
36948,84739,38.683242,-112.115118,Joseph,UT,Sevier
36949,84740,38.243856,-112.22374199999999,Junction,UT,Piute
36950,84741,37.265251,-111.68718700000001,Kanab,UT,Kane
36951,84742,37.522753,-113.20363300000001,Kanarraville,UT,Iron
36952,84743,38.227829,-112.20536000000001,Kingston,UT,Piute
36953,84744,38.722109,-111.871305,Koosharem,UT,Sevier
36954,84745,37.222916999999995,-113.316429,La Verkin,UT,Washington
36955,84746,37.237225,-113.33561999999999,Leeds,UT,Washington
36956,84747,38.441472999999995,-111.595751,Loa,UT,Wayne
36957,84749,38.398684,-111.59204799999999,Lyman,UT,Wayne
36958,84750,38.434909000000005,-112.20675700000001,Marysvale,UT,Piute
36959,84751,38.305873,-113.25098100000001,Milford,UT,Beaver
36960,84752,38.214874,-112.923106,Minersville,UT,Beaver
36961,84753,37.775781,-113.81363400000001,Modena,UT,Iron
36962,84754,38.657847,-112.126117,Monroe,UT,Sevier
36963,84755,37.241269,-112.69693799999999,Mount Carmel,UT,Kane
36964,84756,37.692401000000004,-113.62723899999999,Newcastle,UT,Iron
36965,84757,37.455047,-113.26801200000001,New Harmony,UT,Washington
36966,84758,37.272395,-112.71691899999999,Orderville,UT,Kane
36967,84759,37.827846,-112.522595,Panguitch,UT,Garfield
36968,84760,37.886012,-112.791568,Paragonah,UT,Iron
36969,84761,37.823412,-112.849246,Parowan,UT,Iron
36970,84762,37.516889,-112.66361200000001,Duck Creek Village,UT,Kane
36971,84763,37.160144,-113.042525,Rockville,UT,Washington
36972,84764,37.844777,-111.30820600000001,Bryce,UT,Garfield
36973,84765,37.345219,-113.676057,Santa Clara,UT,Washington
36974,84766,38.578516,-112.31075700000001,Sevier,UT,Sevier
36975,84767,37.186249,-113.013922,Springdale,UT,Washington
36976,84770,37.306845,-113.35542099999999,Saint George,UT,Washington
36977,84771,37.309231,-113.47618200000001,Saint George,UT,Washington
36978,84772,37.815946000000004,-112.90004099999999,Summit,UT,Iron
36979,84773,38.272760999999996,-111.464123,Teasdale,UT,Wayne
36980,84774,37.237701,-113.332321,Toquerville,UT,Washington
36981,84775,38.296853000000006,-111.413774,Torrey,UT,Wayne
36982,84776,37.626146000000006,-112.083565,Tropic,UT,Garfield
36983,84779,37.202201,-113.185422,Virgin,UT,Washington
36984,84780,37.322604,-113.58381599999998,Washington,UT,Washington
36985,84781,37.37104,-113.38480600000001,Pine Valley,UT,Washington
36986,84782,37.359958,-113.621344,Veyo,UT,Washington
36987,84783,37.307734,-113.665249,Dammeron Valley,UT,Washington
36988,84784,37.004364,-112.97841799999999,Hildale,UT,Washington
36989,84790,37.083098,-113.55806799999999,Saint George,UT,Washington
36990,84791,37.309231,-113.47618200000001,Saint George,UT,Washington
36991,85001,33.703967,-112.35183500000001,Phoenix,AZ,Maricopa
36992,85002,33.276539,-112.18717,Phoenix,AZ,Maricopa
36993,85003,33.276539,-112.18717,Phoenix,AZ,Maricopa
