State FIPS Code,County FIPS Code,County Name/State Abbreviation,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
01,115,"St. Clair County, Alabama",86576.0,40.0,54042.0,24474.0,11582.0,13.377841434115691
01,117,"Shelby County, Alabama",205951.0,38.1,72310.0,34117.0,17227.0,8.364610999703814
01,119,"Sumter County, Alabama",13285.0,36.5,20428.0,13929.0,4582.0,34.49002634550244
01,121,"Talladega County, Alabama",81057.0,40.8,37923.0,20430.0,16119.0,19.886006143824716
01,123,"Tallapoosa County, Alabama",40958.0,43.0,39395.0,21410.0,9431.0,23.02602666145808
01,125,"Tuscaloosa County, Alabama",202471.0,32.1,48022.0,23896.0,34470.0,17.024660321725086
01,127,"Walker County, Alabama",65593.0,42.3,37025.0,20410.0,14174.0,21.60901315689174
01,129,"Washington County, Alabama",16909.0,41.4,40293.0,19598.0,3585.0,21.20172689100479
01,131,"Wilcox County, Alabama",11119.0,40.2,24442.0,14800.0,3768.0,33.88793956291033
01,133,"Winston County, Alabama",24013.0,44.1,33896.0,19299.0,4833.0,20.126598092699787
02,013,"Aleutians East Borough, Alaska",3299.0,42.8,65926.0,31025.0,510.0,15.459230069718096
02,016,"Aleutians West Census Area, Alaska",5714.0,37.6,86964.0,35083.0,426.0,7.455372768638432
02,020,"Anchorage Municipality, Alaska",299321.0,32.8,80862.0,37864.0,23652.0,7.901884598808637
02,050,"Bethel Census Area, Alaska",17885.0,26.8,53296.0,18231.0,4619.0,25.826111266424377
02,060,"Bristol Bay Borough, Alaska",942.0,40.7,88000.0,41420.0,67.0,7.112526539278131
02,068,"Denali Borough, Alaska",2125.0,37.3,81302.0,38337.0,233.0,10.964705882352941
02,070,"Dillingham Census Area, Alaska",4980.0,29.7,56055.0,23520.0,815.0,16.365461847389557
02,090,"Fairbanks North Star Borough, Alaska",100150.0,30.7,73831.0,34182.0,7444.0,7.432850723914129
02,100,"Haines Borough, Alaska",2528.0,44.6,53125.0,32673.0,132.0,5.2215189873417724
02,105,"Hoonah-Angoon Census Area, Alaska",2107.0,48.4,54091.0,31451.0,260.0,12.339819648789748
02,110,"Juneau City and Borough, Alaska",32524.0,37.5,87436.0,40592.0,2365.0,7.271553314475464
02,122,"Kenai Peninsula Borough, Alaska",57637.0,40.5,64891.0,32556.0,6175.0,10.713604108471989
02,130,"Ketchikan Gateway Borough, Alaska",13715.0,39.2,64162.0,32694.0,1453.0,10.594239883339409
02,150,"Kodiak Island Borough, Alaska",13918.0,32.7,73068.0,32066.0,1247.0,8.959620635148728
02,158,"Kusilvak Census Area, Alaska",7993.0,23.3,38160.0,11701.0,2862.0,35.80633053922182
02,164,"Lake and Peninsula Borough, Alaska",1411.0,31.9,43864.0,22684.0,263.0,18.6392629340893
02,170,"Matanuska-Susitna Borough, Alaska",98679.0,34.8,73908.0,30078.0,9350.0,9.475166955481916
02,180,"Nome Census Area, Alaska",9879.0,27.7,51563.0,20033.0,2593.0,26.24759591051726
02,185,"North Slope Borough, Alaska",9681.0,33.8,72027.0,49982.0,1070.0,11.05257721309782
02,188,"Northwest Arctic Borough, Alaska",7723.0,26.3,61341.0,21028.0,1874.0,24.26518192412275
02,195,"Petersburg Borough, Alaska",3196.0,40.8,63940.0,34788.0,294.0,9.198998748435544
02,198,"Prince of Wales-Hyder Census Area, Alaska",6374.0,40.5,51887.0,25564.0,938.0,14.716033887668655
02,220,"Sitka City and Borough, Alaska",8921.0,39.1,70160.0,35655.0,796.0,8.922766505997085
02,230,"Skagway Municipality, Alaska",1014.0,44.1,64853.0,39412.0,53.0,5.226824457593688
02,240,"Southeast Fairbanks Census Area, Alaska",6970.0,36.4,63713.0,30757.0,941.0,13.500717360114777
02,261,"Valdez-Cordova Census Area, Alaska",9522.0,37.6,82511.0,35457.0,802.0,8.42260029405587
02,275,"Wrangell City and Borough, Alaska",2401.0,48.8,52986.0,29782.0,237.0,9.870887130362348
02,282,"Yakutat City and Borough, Alaska",646.0,40.5,66875.0,31084.0,51.0,7.894736842105263
02,290,"Yukon-Koyukuk Census Area, Alaska",5600.0,35.2,38451.0,20812.0,1304.0,23.285714285714285
04,001,"Apache County, Arizona",72346.0,33.5,32460.0,13428.0,25658.0,35.465678821220244
04,003,"Cochise County, Arizona",128177.0,40.3,45383.0,23757.0,22184.0,17.307317225399252
04,005,"Coconino County, Arizona",138064.0,30.7,51106.0,24711.0,28193.0,20.420239888747247
04,007,"Gila County, Arizona",53179.0,48.9,40593.0,21470.0,11097.0,20.867259632561726
04,009,"Graham County, Arizona",37529.0,32.4,47422.0,17710.0,7419.0,19.768712195901834
04,011,"Greenlee County, Arizona",9224.0,33.3,51813.0,23778.0,1216.0,13.183000867302688
04,012,"La Paz County, Arizona",20304.0,55.1,36321.0,21447.0,4243.0,20.89736012608353
04,013,"Maricopa County, Arizona",4088549.0,35.8,55676.0,28791.0,666513.0,16.301944773072304
04,015,"Mohave County, Arizona",203629.0,49.7,39856.0,22026.0,37884.0,18.604422749215484
04,017,"Navajo County, Arizona",108209.0,35.8,36868.0,16564.0,31575.0,29.179643098078717
04,019,"Pima County, Arizona",1003338.0,38.1,46764.0,26204.0,186299.0,18.567920282098356
04,021,"Pinal County, Arizona",397604.0,38.3,51190.0,21982.0,61430.0,15.450045774187382
04,023,"Santa Cruz County, Arizona",46547.0,36.4,38941.0,18860.0,10083.0,21.661976067200893
04,025,"Yavapai County, Arizona",218586.0,51.9,46638.0,26584.0,31512.0,14.416293815706403
04,027,"Yuma County, Arizona",203292.0,34.0,41467.0,19483.0,40330.0,19.838458965429037
05,001,"Arkansas County, Arkansas",18569.0,41.2,37330.0,23287.0,3587.0,19.317141472346385
05,003,"Ashley County, Arkansas",20989.0,41.5,36352.0,20290.0,4131.0,19.681738053265995
05,005,"Baxter County, Arkansas",40992.0,51.8,38115.0,23068.0,5600.0,13.66120218579235
05,007,"Benton County, Arkansas",245231.0,35.1,59016.0,28996.0,27562.0,11.239198959348533
05,009,"Boone County, Arkansas",37301.0,42.4,38664.0,21719.0,6409.0,17.181844990750918
05,011,"Bradley County, Arkansas",11096.0,40.9,34665.0,20465.0,3163.0,28.505767844268206
05,013,"Calhoun County, Arkansas",5210.0,44.9,35446.0,21093.0,969.0,18.598848368522074
05,015,"Carroll County, Arkansas",27690.0,44.4,38145.0,20888.0,4789.0,17.295052365474902
05,017,"Chicot County, Arkansas",11189.0,43.7,29628.0,18853.0,3252.0,29.064259540620252
05,019,"Clark County, Arkansas",22684.0,33.6,35595.0,19500.0,4762.0,20.99277023452654
05,021,"Clay County, Arkansas",15202.0,44.0,32404.0,19192.0,3340.0,21.97079331666886
05,023,"Cleburne County, Arkansas",25587.0,47.9,41717.0,25078.0,3901.0,15.24602337124321
05,025,"Cleveland County, Arkansas",8421.0,42.5,42429.0,21485.0,1671.0,19.843249020306377
05,027,"Columbia County, Arkansas",24168.0,36.0,36507.0,19922.0,5581.0,23.092519033432637
05,029,"Conway County, Arkansas",21060.0,41.0,38266.0,21896.0,4482.0,21.28205128205128
05,031,"Craighead County, Arkansas",102884.0,33.9,43892.0,24226.0,18682.0,18.1583142179542
05,033,"Crawford County, Arkansas",61927.0,38.8,41792.0,20889.0,11491.0,18.555718830235598
05,035,"Crittenden County, Arkansas",49511.0,34.7,39407.0,20133.0,11991.0,24.21886045525237
05,037,"Cross County, Arkansas",17329.0,40.3,39306.0,20692.0,3364.0,19.412545444053322
05,039,"Dallas County, Arkansas",7738.0,43.4,35745.0,17803.0,1054.0,13.621090721116568
05,041,"Desha County, Arkansas",12234.0,39.3,26519.0,17324.0,3859.0,31.543240150400525
05,043,"Drew County, Arkansas",18688.0,36.8,33092.0,18373.0,4851.0,25.957833904109588
05,045,"Faulkner County, Arkansas",120417.0,31.9,50872.0,24809.0,18590.0,15.438019548734813
05,047,"Franklin County, Arkansas",17799.0,41.0,39482.0,19811.0,3684.0,20.697792010787122
05,049,"Fulton County, Arkansas",12186.0,48.2,35593.0,19082.0,2769.0,22.722796651895617
05,051,"Garland County, Arkansas",97119.0,44.1,40011.0,24602.0,19639.0,20.22158383014652
05,053,"Grant County, Arkansas",18046.0,39.3,49195.0,24696.0,2318.0,12.844951789870331
05,055,"Greene County, Arkansas",43745.0,38.2,42755.0,21643.0,7621.0,17.421419590810377
05,057,"Hempstead County, Arkansas",22208.0,38.5,34072.0,17813.0,5861.0,26.391390489913544
05,059,"Hot Spring County, Arkansas",33440.0,40.9,42589.0,20522.0,5347.0,15.989832535885167
05,061,"Howard County, Arkansas",13487.0,38.6,34672.0,22587.0,2605.0,19.314895825609845
05,063,"Independence County, Arkansas",37030.0,39.2,37592.0,22035.0,6891.0,18.60923575479341
