ZIP Code,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Hospital Count
03264,7230.0,22.9,44115.0,22991.0,1063.0,14.702627939142461,1
03301,32291.0,39.8,56685.0,31036.0,3568.0,11.049518441671054,1
03431,25715.0,36.0,54273.0,29993.0,3265.0,12.696869531401905,1
03458,6786.0,50.3,68698.0,44826.0,459.0,6.76392572944297,1
03561,5922.0,43.3,39568.0,26559.0,1071.0,18.085106382978722,1
03570,10154.0,41.6,38863.0,22643.0,1625.0,16.00354540082726,1
03576,3188.0,50.3,47104.0,25946.0,530.0,16.624843161856962,1
03584,3699.0,46.5,52067.0,27208.0,226.0,6.109759394430927,1
03743,13734.0,42.2,48008.0,24215.0,1753.0,12.763943497888452,1
03766,9238.0,40.2,61366.0,38740.0,888.0,9.612470231651873,1
03785,2409.0,44.7,42500.0,26135.0,304.0,12.619344126193441,1
03801,22297.0,41.6,70324.0,45651.0,1302.0,5.839350585280531,1
03820,30762.0,36.4,63092.0,33636.0,3015.0,9.801053247513165,1
03833,21475.0,44.8,81563.0,42446.0,1528.0,7.115250291036088,1
03860,4480.0,45.8,56199.0,28685.0,732.0,16.339285714285715,1
03867,20866.0,41.9,47878.0,28442.0,2356.0,11.291095562158535,1
03894,6185.0,54.4,51123.0,36312.0,562.0,9.086499595796282,1
03909,9834.0,51.1,83037.0,46436.0,525.0,5.338621110433191,1
04005,23127.0,34.9,48451.0,25061.0,3627.0,15.682967959527824,1
04009,5300.0,40.8,48171.0,23504.0,805.0,15.18867924528302,1
04011,20497.0,43.7,58502.0,32338.0,1967.0,9.596526320925014,1
04101,17031.0,33.4,35162.0,26365.0,5066.0,29.74575773589337,1
04102,17833.0,34.3,48307.0,31195.0,3329.0,18.667638647451355,1
04240,36277.0,39.6,38199.0,22629.0,7570.0,20.86721614245941,1
04268,4964.0,37.7,37691.0,18268.0,983.0,19.802578565672846,1
04276,5749.0,50.0,29209.0,19215.0,1287.0,22.386502000347885,1
04330,25666.0,43.7,45540.0,24669.0,4586.0,17.867996571339514,2
04401,44754.0,37.0,42351.0,26313.0,8532.0,19.064217723555437,2
04426,4559.0,51.0,43250.0,26379.0,589.0,12.919499890326826,1
04441,1981.0,52.8,45034.0,22933.0,441.0,22.261484098939928,1
04457,5840.0,47.1,39714.0,24997.0,1041.0,17.825342465753426,1
04462,4718.0,53.2,32380.0,24364.0,449.0,9.516744383213226,1
04543,1866.0,50.5,49375.0,31141.0,200.0,10.718113612004288,1
04605,13555.0,46.2,51456.0,28447.0,1684.0,12.423459977867946,1
04609,5329.0,45.3,49227.0,29035.0,546.0,10.245824732595233,1
04614,2549.0,49.9,51375.0,37001.0,285.0,11.180855237347979,1
04619,3018.0,48.0,32885.0,26152.0,590.0,19.54937044400265,1
04654,3278.0,43.5,39301.0,20859.0,556.0,16.96156192800488,1
04730,9852.0,43.4,38779.0,21984.0,1725.0,17.50913520097442,1
04736,9466.0,44.8,36115.0,23640.0,1622.0,17.13500950771181,1
04743,4625.0,44.9,39344.0,21956.0,839.0,18.14054054054054,1
04769,9298.0,40.9,36789.0,22338.0,1962.0,21.10131211013121,1
04856,3352.0,47.2,72679.0,32245.0,198.0,5.906921241050119,1
04901,26441.0,41.0,37189.0,23650.0,4941.0,18.686887787905146,1
04915,8818.0,44.6,41218.0,24903.0,1960.0,22.22726241778181,1
04938,9524.0,38.4,38939.0,20868.0,1197.0,12.568248635027299,1
04967,4150.0,40.5,46395.0,20071.0,731.0,17.6144578313253,1
04976,9722.0,45.7,32609.0,21915.0,2152.0,22.135363094013577,1
05060,4258.0,47.3,46698.0,27502.0,702.0,16.48661343353687,1
05089,4907.0,47.1,48654.0,27123.0,609.0,12.410841654778887,1
05156,9201.0,44.5,47488.0,25718.0,1226.0,13.324638626236279,1
05201,14429.0,44.6,43497.0,25978.0,2763.0,19.148936170212767,1
05301,16470.0,44.2,50789.0,28856.0,2512.0,15.25197328476017,1
05353,843.0,49.1,61818.0,32906.0,133.0,15.776986951364176,1
05401,28849.0,27.1,41714.0,26258.0,7594.0,26.323269437415508,1
05478,14942.0,38.1,52618.0,28475.0,1485.0,9.938428590550128,1
05641,16739.0,42.6,46839.0,27752.0,2745.0,16.398829081785053,1
05661,5796.0,44.8,46054.0,29756.0,841.0,14.510006901311248,1
05701,20160.0,46.2,43532.0,28163.0,2770.0,13.740079365079366,1
05753,10443.0,33.7,54516.0,27831.0,945.0,9.04912381499569,1
05819,9655.0,45.3,46166.0,25208.0,1015.0,10.512687726566545,1
05855,7209.0,40.7,41364.0,23283.0,1171.0,16.243584408378418,1
06010,60437.0,41.2,61551.0,32374.0,6144.0,10.165957939672717,1
06032,17623.0,43.8,97803.0,58109.0,1121.0,6.361005504170686,1
06040,35616.0,34.8,61193.0,31028.0,5313.0,14.91745283018868,1
06066,29206.0,39.5,61190.0,35125.0,2629.0,9.001575018831748,1
06069,2444.0,59.0,82500.0,64944.0,249.0,10.188216039279869,1
06076,12620.0,41.7,66176.0,32366.0,1313.0,10.404120443740094,1
06105,19165.0,34.3,31920.0,27883.0,5119.0,26.710148708583354,1
06106,38010.0,30.2,28529.0,16532.0,13128.0,34.538279400157855,1
06117,16788.0,42.3,118773.0,58737.0,842.0,5.015487252799619,1
06226,19667.0,26.6,32849.0,15661.0,5244.0,26.66395484822291,1
06260,9382.0,43.0,52449.0,27722.0,901.0,9.60349605627798,1
06320,27270.0,30.6,35400.0,21625.0,6571.0,24.096076274294095,1
06360,37153.0,37.0,52275.0,27919.0,5923.0,15.94218501870643,1
06405,27901.0,47.3,71678.0,44247.0,1631.0,5.845668614028171,1
06418,12771.0,39.0,55398.0,28882.0,1593.0,12.473572938689218,1
06450,35907.0,41.8,58361.0,31371.0,4245.0,11.822207369036677,1
06457,46933.0,36.4,63828.0,35074.0,4888.0,10.414846696354378,1
06460,38233.0,44.5,80776.0,41746.0,2740.0,7.166583841184317,1
06492,45054.0,45.7,75997.0,38988.0,1740.0,3.8620322279930748,1
06516,54972.0,36.3,50831.0,26197.0,7990.0,14.53467219675471,1
06606,47671.0,35.7,53742.0,25489.0,6245.0,13.10020767342829,1
06610,22921.0,35.6,42963.0,21241.0,4162.0,18.158021028750927,1
06706,14637.0,32.6,39462.0,18646.0,4090.0,27.942884470861515,1
06790,35268.0,44.5,58510.0,29530.0,3466.0,9.827605761596915,1
06810,51085.0,35.3,56110.0,27235.0,7244.0,14.180287755701283,1
06830,25342.0,41.6,104164.0,94046.0,1877.0,7.406676663246784,1
07002,65772.0,37.8,54862.0,28797.0,10177.0,15.473149668551967,1
07018,28741.0,35.6,38143.0,21539.0,6823.0,23.73960544170349,2
07030,53136.0,31.6,118479.0,76480.0,5424.0,10.20776874435411,1
07039,29691.0,44.1,145916.0,65036.0,634.0,2.1353272035296893,1
07042,25698.0,38.8,85917.0,54667.0,2517.0,9.794536539808545,1
07047,62791.0,37.0,56129.0,25566.0,9229.0,14.697966269051298,1
07055,70574.0,29.0,33904.0,15662.0,22321.0,31.62779493864596,1
07065,28897.0,37.9,66439.0,31464.0,1719.0,5.948714399418625,1
07094,18737.0,40.0,94160.0,44632.0,1423.0,7.594598921919197,1
07102,13084.0,30.9,23797.0,14626.0,4718.0,36.059309079792115,1
07109,36125.0,38.6,64869.0,28850.0,3522.0,9.749480968858132,1
07112,25476.0,35.3,34625.0,20336.0,5994.0,23.52802637776731,1
07302,41026.0,34.0,108888.0,68307.0,3990.0,9.725539901525861,1
07306,55039.0,33.0,49540.0,25521.0,12366.0,22.467704718472355,1
07444,11011.0,49.9,81738.0,49839.0,607.0,5.512669149032785,1
07450,25448.0,41.6,144918.0,72666.0,1066.0,4.188934297390758,1
07503,18573.0,33.0,34867.0,15757.0,5698.0,30.678942551014913,1
07601,44271.0,38.9,56222.0,32105.0,6279.0,14.18309954597818,1
07631,28081.0,39.0,77204.0,47389.0,3154.0,11.23179373953919,1
07652,26795.0,46.9,101793.0,44325.0,594.0,2.216831498413883,1
07666,40668.0,39.8,101128.0,43779.0,2206.0,5.4244123143503495,1
07675,27082.0,44.0,115177.0,56385.0,1416.0,5.228565098589469,1
07701,23768.0,41.2,76259.0,45044.0,2265.0,9.529619656681252,1
07728,55905.0,41.6,85780.0,40530.0,3791.0,6.781146587961721,1
07733,16713.0,47.8,144983.0,67671.0,570.0,3.4105187578531684,1
07740,31034.0,37.0,51918.0,30599.0,5209.0,16.784816652703487,1
07834,17971.0,44.3,109088.0,50955.0,380.0,2.114517834288576,1
07840,29947.0,40.9,75516.0,37234.0,2144.0,7.159314789461382,1
07860,25873.0,44.4,78801.0,36577.0,2213.0,8.55331813087002,1
08015,20188.0,38.7,62423.0,26261.0,2656.0,13.156330493362393,1
08043,29329.0,43.9,82563.0,43006.0,1843.0,6.283882846329571,1
08046,31442.0,40.3,67500.0,27089.0,3009.0,9.570001908275556,1
08050,24793.0,44.1,72773.0,35465.0,1599.0,6.449401040616303,1
08053,45578.0,42.3,90315.0,43130.0,2170.0,4.761068936767739,1
08060,24330.0,38.1,78420.0,35885.0,1344.0,5.524044389642417,1
08079,10372.0,40.2,44063.0,25964.0,2518.0,24.276899344388738,1
08084,7007.0,42.0,68870.0,29389.0,678.0,9.676038247466819,1
08096,35599.0,40.6,66250.0,32907.0,3620.0,10.168824966993455,1
08103,14443.0,31.4,25217.0,14925.0,5514.0,38.177663920238174,2
08210,17134.0,46.0,65899.0,33600.0,1057.0,6.169020660674682,1
08244,10858.0,40.8,52047.0,28389.0,1364.0,12.562166144778043,1
08318,12069.0,45.4,76176.0,33960.0,712.0,5.899411715966526,1
08360,43559.0,36.2,45027.0,21185.0,8448.0,19.394384627746277,1
08401,39306.0,35.7,26566.0,18818.0,14298.0,36.37612578232331,1
08534,13361.0,44.8,125069.0,65734.0,267.0,1.9983534166604295,1
08536,20180.0,34.8,95533.0,48342.0,861.0,4.266600594648167,1
08629,13615.0,33.5,56462.0,19778.0,2080.0,15.277267719427103,1
08638,22794.0,38.5,53435.0,25243.0,4304.0,18.88216197244889,1
08690,19347.0,46.0,96503.0,41129.0,341.0,1.762547164935132,1
08701,97907.0,21.3,42993.0,15443.0,30201.0,30.846619751396734,1
08724,41858.0,45.1,77297.0,39245.0,2081.0,4.971570548043385,1
08755,25491.0,49.0,69682.0,39157.0,1337.0,5.244988427288062,1
08822,30669.0,44.3,104104.0,48584.0,2287.0,7.4570413120740815,1
08861,54390.0,33.0,50067.0,20144.0,10653.0,19.586321014892444,1
08865,29263.0,41.4,57756.0,29348.0,4064.0,13.887844718586612,1
08876,22369.0,38.1,86395.0,40973.0,1018.0,4.5509410344673435,1
08901,57585.0,23.2,40428.0,14396.0,17426.0,30.261352782842753,3
10003,56767.0,32.2,100791.0,85199.0,4655.0,8.200186728204766,2
10010,32854.0,35.0,110142.0,83240.0,3587.0,10.918000852255433,1
10016,50444.0,33.3,102703.0,87451.0,5095.0,10.100309253826024,2
10019,39505.0,39.2,94477.0,90151.0,4658.0,11.790912542716113,1
10021,45261.0,38.4,115681.0,116440.0,3045.0,6.727646318022138,3
